address,attributes,business_id,categories,city,hours,is_open,name,neighborhood,postal_code,review_count,stars,state,BusinessAcceptsCreditCards,BikeParking,RestaurantsDelivery,RestaurantsTakeOut,OutdoorSeating,parking_garge,parking_street,parking_validated,parking_lot,parking_valet
2627 Penn Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 1']",HWrbZS1mxVRj2Y2VwMmDMg,"['Food', 'Bakeries']",Pittsburgh,,0,Dulcinea Bakeshop,Strip District,15222.0,3,4.5,PA,1,1,0,0,0,0,0,0,0,0
US Highway 19,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""]",Yx7nuv4EVV-99PT1oR2AKw,"['Food', 'Bakeries']",Wexford,,1,Dudt H D Bakery,,15090.0,12,3.5,PA,1,0,0,0,0,0,0,0,0,0
2110 Brighton Rd,"['BikeParking: False', 'BusinessAcceptsCreditCards: False', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",Uh6EhbFKgQlhVpfvnqsfHA,"['Bakeries', 'Food', 'Restaurants', 'Event Planning & Services', 'Caterers']",Pittsburgh,"['Monday 6:30-18:0', 'Tuesday 6:30-18:0', 'Wednesday 6:30-18:0', 'Thursday 6:30-18:0', 'Friday 6:30-18:0', 'Saturday 6:30-16:0', 'Sunday 8:0-13:30']",1,BreadWorks Bakery,North Side,15212.0,19,4.5,PA,0,0,1,1,0,0,0,0,1,0
"One Oxford Centre, 301 Grant Str","['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WiFi: free']",EQEjBxW64QzleZHvRYA31A,"['Food', 'Bakeries', 'Coffee & Tea']",Pittsburgh,"['Monday 5:30-18:30', 'Tuesday 5:30-18:30', 'Wednesday 5:30-18:30', 'Thursday 5:30-18:30', 'Friday 5:30-18:30']",1,Starbucks,Downtown,15219.0,4,4.0,PA,1,1,0,1,0,1,0,0,0,0
Quaker Village Shopping Ctr,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",NWY04fnx_9bySycRrF4APQ,"['Shopping', 'Bakeries', 'Videos & Video Game Rental', 'Food', 'Grocery', 'Books', 'Mags', 'Music & Video']",Leetsdale,,1,Giant Eagle,,15056.0,3,1.5,PA,1,1,0,1,0,0,0,0,1,0
623 Clairton Blvd,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'NoiseLevel: quiet', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True']",1o3N4PiPI-fHnJnh-U85iw,"['Sandwiches', 'Soup', 'Breakfast & Brunch', 'Bagels', 'Restaurants', 'Food', 'Bakeries', 'Salad']",Pleasant Hills,"['Monday 6:30-21:0', 'Tuesday 6:30-21:0', 'Wednesday 6:30-21:0', 'Thursday 6:30-21:0', 'Friday 6:30-21:0', 'Saturday 6:30-21:0', 'Sunday 7:0-20:0']",1,Panera Bread,,15236.0,5,3.5,PA,1,1,0,1,1,0,0,0,0,0
1419 Potomac Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",zuu87Wx0Sv2KCUzY_wGSKQ,"['Bakeries', 'Food']",Pittsburgh,"['Monday 6:0-18:30', 'Tuesday 6:0-18:30', 'Wednesday 6:0-18:30', 'Thursday 6:0-18:30', 'Friday 6:0-18:30', 'Saturday 6:0-17:0']",1,Potomac Bakery,Dormont,15216.0,28,4.0,PA,1,1,0,1,0,0,1,0,0,0
1105 Bower Hill Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating: True', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",R1r4MkEQDJSdZUxEDcIG5w,"['Cupcakes', 'Coffee & Tea', 'Bakeries', 'Food']",Pittsburgh,"['Monday 7:0-16:0', 'Tuesday 7:0-16:0', 'Wednesday 7:0-16:0', 'Thursday 7:0-16:0', 'Friday 7:0-16:0', 'Saturday 8:0-17:0']",1,Life Is Sweet Bakery Cafe,,15243.0,12,4.5,PA,1,1,0,1,1,0,1,0,1,0
344 Station St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",f78Acx0_Yl_93mqRzq5IUQ,"['Desserts', 'Food', 'Bakeries']",Bridgeville,"['Tuesday 10:0-19:0', 'Wednesday 10:0-19:0', 'Thursday 10:0-19:0', 'Friday 10:0-20:0', 'Saturday 10:0-20:0', 'Sunday 10:0-14:0']",1,Batter & Dough Baking Company,,15017.0,17,4.0,PA,1,1,0,1,0,0,1,0,0,0
100 Tarentum Bridge Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: False', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",hfawbr8I0EH6BYcpDcVHtw,"['Food', 'Bakeries', 'Donuts', 'Coffee & Tea']",New Kensington,,1,Donut Connection,,15068.0,4,5.0,PA,1,1,0,1,0,0,0,0,0,0
